title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Notes from a Private Journal of a Visit to Egypt and Palestine by Way of Italy and the Mediterranean","&lt;a href=&quot;/judith-montefiore.html&quot;&gt;Judith Montefiore&lt;/a&gt;","1844","Judith Montefiore&#39;s second privately disseminated journal documenting her travels in Europe and the Middle East.","Middle East--Description and travel; Europe--Description and travel ","London","","","","vjwp_133","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_133_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_133.pdf","http://localhost:4000/items/vjwp_133.html"
"Private Journal of a Visit to Egypt and Palestine, by Way of Italy and the Mediterranean ","&lt;a href=&quot;/judith-montefiore.html&quot;&gt;Judith Montefiore&lt;/a&gt;","1836","Judith Montefiore&#39;s first privately disseminated journal documenting her travels in Europe and the Middle East.","Middle East--Description and travel; Europe--Description and travel ","London","","","","vjwp_134","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_134_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_134.pdf","http://localhost:4000/items/vjwp_134.html"
"Des Israeliten Liebe zum Vaterlande: Eine Predigt zur Feier des Geburtstages seiner Majestät des Königs Wilhelm IV","&lt;a href=&quot;/nathan-marcus-adler.html&quot;&gt;Nathan Marcus Adler&lt;/a&gt;","1836","A sermon delivered by Rabbi Nathan Marcus Adler of Hanover (future British Chief Rabbi) on the birthday of Wilhelm IV. ","Jewish sermons; Judaism--Apologetic works","Hanover","","","","vjwp_135","book","pdf","German","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_135_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_135.pdf","http://localhost:4000/items/vjwp_135.html"
"The Morning &amp; the Evening Sacrifice; How to be Represented in these Days, with Special Reference ot the Claims of Deaf Muts in the Jewish Community","&lt;a href=&quot;/nathan-marcus-adler.html&quot;&gt;Nathan Marcus Adler&lt;/a&gt;","1865","A sermon delivered by Chief Rabbi Nathan Marcus Adler on the Jewish prayer service and the concerns of the deaf. Delievered in the Great Synagogue, January 28, 1865. ","Jewish sermons; Judaism--Apologetic works","London","","","","vjwp_136","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_136_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_136.pdf","http://localhost:4000/items/vjwp_136.html"
"The Second Day of the Festivals: A Sermon at the New Synagogue, Great St. Helen&#39;s, on the Second Day of Passover","&lt;a href=&quot;/nathan-marcus-adler.html&quot;&gt;Nathan Marcus Adler&lt;/a&gt;","1868","A sermon delivered by Chief Rabbi Nathan Marcus Adler on Jewish laws relating to the second-day of Jewish holidays. ","Jewish sermons; Judaism--Apologetic works; Jewish philosophy","London","","","","vjwp_137","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_137_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_137.pdf","http://localhost:4000/items/vjwp_137.html"
"The Jewish Armoury","Isaac Lindo Mocatta","1877","A work dedicated to making concise arguments in favor of the Jewish religion and extrapolating Jewish morality and ethics from the Bible.","Jewish philosophy; Judaism--Apologetic works","Brighton","","","","vjwp_138","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_138_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_138.pdf","http://localhost:4000/items/vjwp_138.html"
"Moral Biblical Gleanings and Practical Teachings, Illustrated by Biographical Sketches Drawn from the Sacred Volume","Isaac Lindo Mocatta","1872","Practical book of morals and ethics derived from the Hebrew Bible.","Jewish philosophy; Judaism--Apologetic works","London","","","","vjwp_139","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_139_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_139.pdf","http://localhost:4000/items/vjwp_139.html"
"Emendations of the Authorised Version of the Old Testament","Selig Newman","1839","An annotated list of corrections to the Authorised Version of the Old Testament, correcting mistranslations and supplying annotations from codices as well as classical Jewish commentators. ","Jewish philosophy; Judaism--Apologetic works; Judaism--liturgy; Hebrew language--Grammar","London","","","","vjwp_140","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_140_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_140.pdf","http://localhost:4000/items/vjwp_140.html"
"Sefer Sharshim: A Hebrew and English Lexicon Containing all the Words of the Old Testament, with the Chaldee words in Daniel, Ezra, and the Targums, and also the Talmudical and Rabbinical Words Derived from Them","Selig Newman","1834","Hebrew and English lexicon of Aramaic words in the Tanakh and rabbinical literature. ","Hebrew language--Grammar; Aramaic language--Grammar; Judaism--Hebrew bible ","London","","","","vjwp_141","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_141_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_141.pdf","http://localhost:4000/items/vjwp_141.html"
"Tilmod Lashon ʻIvri: A Grammar of the Hebrew Language, with Points; Together with a Short Sketch of the Chaldee Grammar","Selig Newman","1827","Textbook on the Hebrew and Aramaic languages. ","Hebrew language--Grammar; Aramaic language--Grammar; Judaism--Hebrew bible ","London","","","","vjwp_142","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_142_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_142.pdf","http://localhost:4000/items/vjwp_142.html"
"Sefer Milim: An English and Hebrew Lexicon, Composed after Johnson&#39;s Dictionary, Containing Fifteen Thousand English Words, Rendered into Biblical, or Rabbinical Hebrew, or into Chaldee, to which is Annexed a List of English and Hebrew Words the Expressions and Meanings of which Appear to be the Same in Both Languages","Selig Newman","1832","Dictionary on the Hebrew language modeled after Johnson&#39;s Dictionary. ","Hebrew language--Grammar; Aramaic language--Grammar; Hebrew--dictionary","London","","","","vjwp_143","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_143_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_143.pdf","http://localhost:4000/items/vjwp_143.html"
"The Challenge Accepted: A Dialogue Between a Jew and a Christian","Selig Newman","1850","A defense of Judaism and Jewish theology against common Christian arguments derived from the New Testament and Christian theology.","Jewish philosophy; Judaism--Apologetic works","New York","","","","vjwp_144","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_144_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_144.pdf","http://localhost:4000/items/vjwp_144.html"
"A Hebrew and English and English and Hebrew Dictionary with Roots and Abbreviations","Abigail Lindo","1846","A Hebrew-English, English-Hebrew dictionary which includes words from the Hebrew Bible as well as Hebrew neologisms coined by Lindo.","Hebrew language--Grammar; Judaism--Hebrew bible","London","","","","vjwp_145","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_145_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_145.pdf","http://localhost:4000/items/vjwp_145.html"
"The Romance of Jewish History vol. 1","Celia (Moss) Levetus, Marion (Moss) Hartog","1840","A history of the Jewish people from Biblical times to the present day. ","Bible stories, English; Jews--Fiction","London","","","","vjwp_146","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_146_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_146.pdf","http://localhost:4000/items/vjwp_146.html"
"The Romance of Jewish History vol. 2","Celia (Moss) Levetus, Marion (Moss) Hartog","1840","A history of the Jewish people from Biblical times to the present day. ","Bible stories, English; Jews--Fiction","London","","","","vjwp_147","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp-no-full-text_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp-no-full-text.png","http://localhost:4000/items/vjwp_147.html"
"The Romance of Jewish History vol. 3","Celia (Moss) Levetus, Marion (Moss) Hartog","1840","A history of the Jewish people from Biblical times to the present day. ","Bible stories, English; Jews--Fiction","London","","","","vjwp_148","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_148_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_148.pdf","http://localhost:4000/items/vjwp_148.html"
"The Divine Judgments Improved: Being a Discourse Delivered at the Spanish and Portuguese Jews&#39; Synagogue, Bevis Marks, on the Penitential Sabbath, 6th Tishri, 5610","David Meldola","1850","David Meldola&#39;s Shabbat Shuva sermon delivered at Bevis Marks Synagogue. ","Jewish sermons; Judaism--Apologetic works","London","","","","vjwp_149","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_149_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_149.pdf","http://localhost:4000/items/vjwp_149.html"
"Dirge to be Chanted on the Expiration of the Eleven Months of Mourning for the Late Lamented Reverend Dr. Benjamin Artom, Chief Rabbi of the Spanish and Portuguese Jews of England","David Meldola","1879","David Meldola&#39;s dirge for his father, Rabbi Raphael Meldola, reprinted for the conclusion of the mourning period for Rabbi Dr. Benjamin Artom. ","Jewish sermons; Judaism--liturgy","London","","","","vjwp_150","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_150_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_150.pdf","http://localhost:4000/items/vjwp_150.html"
"New Zealand: Being a Narrative of Travels and Adventures During a Residence in that Country Between the Years 1831 and 1837","Joel Samuel Polack","1838","Travelogue and description of settling in nineteenth-century New Zealand. ","New Zealand--Description and travel; Oceania--Description and travel","London","","","","vjwp_151","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_151_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_151.pdf","http://localhost:4000/items/vjwp_151.html"
"Signification of the Proper Names, Etc., Occurring in the Book of Enoch, from the Hebrew and Chaldee Languages","David Aaron de Sola","1852","A commenatry on the Book of Enoch, discussing the book&#39;s history and language, as well as contemporary commentaries on the book. ","Hebrew language--Grammar; Aramaic language--Grammar; Bible. Old Testament--Versions, Jewish","London","","","","vjwp_152","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_152_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_152.pdf","http://localhost:4000/items/vjwp_152.html"
"A Sermon Delivered at the Spanish and Portuguese Jews&#39; Synagogue, Bevis Marks, on Wednesday, 7th Nisan (24th March), 5607","David Aaron de Sola","1847","Sermon delivered at Bevis Marks at the behest of Queen Victoria, who requested all religious communities gather to pray about the impending famine in Europe and the British Empire.","Judaism--Apologetic works; Great Britain--history","London","","","","vjwp_153","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_153_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_153.pdf","http://localhost:4000/items/vjwp_153.html"
"Eastern Persia: An Account of the Journeys of the Persian Boundary Commission, 1870-71--72","Frederic John Goldsmid","1876","A travelogue and geological report of Persia commissioned by the British government. ","Zoology--Iran; Geology--Iran; Iran--description and travel; Iran--boundaries","London","","","","vjwp_154","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_154_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_154.pdf","http://localhost:4000/items/vjwp_154.html"
"Central Asia, and Its Question: Being a Paper Read in the Speech-Room of Harrow School, On the 18th of March, 1873","Frederic John Goldsmid","1873","Lecture on Central Asia and the Eastern Question.","Eastern question (Central Asia); Central Asia","London","","","","vjwp_155","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_155_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_155.pdf","http://localhost:4000/items/vjwp_155.html"
"James Outram: A Biography","Frederic John Goldsmid","1880","Two-volume biography of Lieutenant-General Sir James Outram, 1st Baronet, who was a leading figure of the Indian Rebellion of 1857. ","Outram, James, Sir, 1803-1863","London","","","","vjwp_156","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_156_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_156.pdf","http://localhost:4000/items/vjwp_156.html"
"James Outram: A Biography","Frederic John Goldsmid","1881","Two-volume biography of Lieutenant-General Sir James Outram, 1st Baronet, who was a leading figure of the Indian Rebellion of 1857. ","Outram, James, Sir, 1803-1863","London","","","","vjwp_157","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_157_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_157.pdf","http://localhost:4000/items/vjwp_157.html"
"The Lyre of David, or Analysis of the Psalms: Wherein all the Hebrew Words are Given in English","Victorinus Bythner","1847","A commentary on the Book of Psalms with special attention to Hebrew verbs.","Bible--Psalms--Commentaries","Dublin","","","","vjwp_158","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_158_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_158.pdf","http://localhost:4000/items/vjwp_158.html"
"Epea Pteroenta: Conveying Revelations of the Past","Nathan Lazarus Benmohel","1860","A work on philology, European ethnography, and philosophy. ","Ethnology--German","Dublin","","","","vjwp_159","book","pdf","English; German","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_159_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_159.pdf","http://localhost:4000/items/vjwp_159.html"
"Letters on the Present State of the Jewish Poor in the Metropolis","Joshua Van Oven","1802","Propositions for ameliorating Jewish povertry in nineteenth-century England.","Jewish youth; Jewish youth--England; Jews; Jews--Employment; Jews--England; Jews--London","London","","","","vjwp_160","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_160_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_160.pdf","http://localhost:4000/items/vjwp_160.html"
"A Manual of Judaism: Detailed in a Conversation between a Rabbi and his Pupil","Joshua Van Oven","1835","Introduction into the knowledge of the principles of the Jewish faith. ","Judaism--Apologetic works; Jewish philosophy; Judaism--handbooks and manuals","London","","","","vjwp_161","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_161_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_161.pdf","http://localhost:4000/items/vjwp_161.html"
"The Law of Sinai, and Its Appointed Times","Moses Angel","1858","A history of the Jewish people and an explanation of the relationship between Jewish history and Jewish law.","Judaism--Apologetic works","London","","","","vjwp_162","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_162_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_162.pdf","http://localhost:4000/items/vjwp_162.html"
"Sabbath Evenings at Home","Miriam Mendes Belisario","1856","A series of &quot;conversations&quot; on the importance of Jewish life and practice. ","Judaism--Customs and practices; Judaism--Apologetic works","London","","","","vjwp_163","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_163_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_163.pdf","http://localhost:4000/items/vjwp_163.html"
"Jewish School &amp; Family Bible","Abraham Benisch","1851","An English translation of the Jewish Bible published for families and Jewish schools.","Bible. Old Testament--Versions, Jewish","London","","","","vjwp_164","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_164_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_164.pdf","http://localhost:4000/items/vjwp_164.html"
"Maimonides &amp;c","Abraham Benisch","1847","Two lectures on the life and writings of Maimonides.","Judaism; Jewish philosophy","London","","","","vjwp_165","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_165_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_165.pdf","http://localhost:4000/items/vjwp_165.html"
"חמשה חומשי תורה, גם ההפטרות, עם תרגום חדש ללשון אנגלית / The Pentateuch and the Haftaroth","Abraham Benisch","1864","Hebrew text and English translations on opposite pages. ","Bible. Old Testament--Versions, Jewish","Rödelheim","","","","vjwp_166","book","pdf","English; Hebrew","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_166_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_166.pdf","http://localhost:4000/items/vjwp_166.html"
"The Idol in Horeb: Evidence that the Golden Image at Mount Sinai was a Cone","Abraham Benisch","1871","Biblical interpretation regarding the Golden Calf in Exodus chapter 32. ","Bible. Old Testament--Versions, Jewish ;Bible--Exodus--Criticism, interpretation;Ethnology--Egypt","London","","","","vjwp_167","","","","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp-no-full-text_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp-no-full-text.png","http://localhost:4000/items/vjwp_167.html"
"Is the Oral Lawe of Divine Origin and Therefore Binding upon the Jews","Abraham Benisch","1842","An apologia for rabbinical literature and the Jewish religious tradition. ","Judaism--Apologetic works; Judaism--theology; Judaism--Rabbinical literature","London","","","","vjwp_168","","","","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp-no-full-text_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp-no-full-text.png","http://localhost:4000/items/vjwp_168.html"
"Judaism Surveyed: Being a Sketch of the Rise and Development of Judaism, from Moses to Our Days, in a Series of Five Lectures, etc.","Abraham Benisch","1874","Historical essays on the history of Judaism from Biblical times to the present. ","Judaism--History","London","","","","vjwp_169","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_169_.th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_169.pdf","http://localhost:4000/items/vjwp_169.html"
"Lament for Judea","&lt;a href=&quot;/grace-aguilar.html&quot;&gt;Grace Aguilar&lt;/a&gt;","1836","Poem mourning the loss of Judea and Jerusalem. Originally published in &lt;em&gt;Hebrew Review and Magazine of Rabbinical Literature&lt;/em&gt;, vol. 3, no. 73, June 1836.","Poetry; Sonnets; Jewish religious poetry, English","London","","","","vjwp_170","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_170_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_170.pdf","http://localhost:4000/items/vjwp_170.html"
"Diaries of Sir Moses and Lady Montefiore","Moses Montefiore, Judith Cohen Montefiore, Louis Loewe","1890","Biography that includes speeches and addresses of Sir Moses as well as personal narratives of his missions, correspondences with ministers and ambassadors, and opnions on financial, political, and religious subjects. ","Biographies; Jews; Jews in Palestine; Middle East; Montefiore, Moses, Sir, 1784-1885; Philanthropists ","London","","","","vjwp_171","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_171_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_171.pdf","http://localhost:4000/items/vjwp_171.html"
"Hours of Solitude","Charlotte Dacre","1805","A collection of original poems in two volumes by Charlotte Dacre.","Poetry","London","","","","vjwp_172","book","","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_172_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_172.pdf","http://localhost:4000/items/vjwp_172.html"
"The Libertine","Charlotte Dacre","1807","A series of short gothic tales. ","Gothic fiction (Literary genre); Horror tales","London","","","","vjwp_173","book","","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_173_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_173.pdf","http://localhost:4000/items/vjwp_173.html"
"Trifles of Helicon","Charlotte Dacre, Sophia King","1798","Collection of sonnets.","Poetry; Sonnets","London","","","","vjwp_174","book","","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp-no-full-text_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp-no-full-text.png","http://localhost:4000/items/vjwp_174.html"
"The Confessions of the Nun of St. Omer","Charlotte Dacre","1805","Charlotte Dacre&#39;s debut novel telling the story of Cazire, who recounts her youthful adventures from the convent where she now lives in seclusion.","Nuns--Fiction; Gothic fiction (Literary genre)","London","","","","vjwp_175","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_175_2_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_175_2.pdf","http://localhost:4000/items/vjwp_175.html"
"The Passions","Charlotte Dacre","1811","Gothic novel and revenge tale focusing on an aristocratic love triangle. ","Gothic fiction (Literary genre)","London","","","","vjwp_176","book","","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp-no-full-text_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp-no-full-text.png","http://localhost:4000/items/vjwp_176.html"
"&quot;The Martyr Mother&quot; ","&lt;a href=&quot;/grace-aguilar.html&quot;&gt;Grace Aguilar&lt;/a&gt;","1845","Aguilar&#39;s account of Hannah, the Jewish martyr from the story of the Maccabees who died alongside her seven sons. ","Jewish philosophy; Judaism--Apologetic works","London","","","","vjwp_177","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_91_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_91.pdf","http://localhost:4000/items/vjwp_177.html"
"&quot;What the Candles Say&quot;","Aaron Selig Doniach","1921","Story recounting a child&#39;s vision of the Maccabees while gazing at the Chanukah lights. ","Children&#39;s literature; Jewish literature for children","New York","","","","vjwp_178","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_178_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_178.pdf","http://localhost:4000/items/vjwp_178.html"
"&quot;Chanukah&quot;","Marion Hartog","1917","Poem wistfully remembering the Maccebean victory over oppression. ","Jewish poetry","New York","","","","vjwp_179","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_179_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_179.pdf","http://localhost:4000/items/vjwp_179.html"
"&quot;The Story of the Maccabees&quot;","Morris Joseph","1921","One-page account of the story of the Maccabees. ","Jews--Civilization; Jewish literature","Oxford","","","","vjwp_180","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_180_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_180.pdf","http://localhost:4000/items/vjwp_180.html"
"&quot;The Banner of the Jew&quot;","Emma Lazarus","1921","Poem about the Maccabees. ","Children&#39;s literature; Jewish literature for children","New York","","","","vjwp_181","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_178_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_178.pdf","http://localhost:4000/items/vjwp_181.html"
"&quot;Feast of Dedication&quot;","Lady Katie Magnus","1868","Children&#39;s story about celebrating Chanukah. ","Children&#39;s literature; Jewish literature for children","London","","","","vjwp_182","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_182_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_182.pdf","http://localhost:4000/items/vjwp_182.html"
"&quot;The Asmoneans&quot;","Marion Moss and Celia Moss","1840","Fictionalized account of the story of the Maccabees. ","Bible stories, English; Jews--Fiction","London","","","","vjwp_183","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_183_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_183.pdf","http://localhost:4000/items/vjwp_183.html"
"&quot;Hanucah Lights&quot;","Morris Rosenfeld","1921","A poem, originally in Yiddish, remembering Jewish sovereignty in the Land of Israel in the context of Chanukah. ","Children&#39;s literature; Jewish literature for children","New York","","","","vjwp_184","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_178_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_178.pdf","http://localhost:4000/items/vjwp_184.html"
"&quot;The Jews Under the Asmoneans&quot;","Constance Rothschild and Anne de Rothschild","1871","Historical biographies of each of the Maccabees. ","Bible. Old Testament--Criticism, interpretation, etc.; Bible. Old Testament--History of Biblical events; Jews--History","London","","","","vjwp_185","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_185_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_185.pdf","http://localhost:4000/items/vjwp_185.html"
"&quot;Nittel-Nacht&quot;","Martha Wolfenstein","1871","Fictionalized depiction of Nittel-Nacht in Eastern Europe. ","Children&#39;s literature; Jewish literature for children","New York","","","","vjwp_186","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_178_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_178.pdf","http://localhost:4000/items/vjwp_186.html"
"&quot;Anglicization&quot;","Israel Zangwill","1907","Story of an interfaith relationship set in London during Chanukah. ","Jews--Fiction; Jewish fiction","New York","","","","vjwp_187","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_187_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_187.pdf","http://localhost:4000/items/vjwp_187.html"
"&quot;Joseph the Dreamer&quot;","Israel Zangwill","1898","Fictional tale of a Jewish conversion in Rome on a night when Chanukah and Christmas overlap.","Jews--Fiction; Jewish fiction","New York","","","","vjwp_188","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_188_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_188.pdf","http://localhost:4000/items/vjwp_188.html"
"Cohen of Trinity","Amy Levy","May 1889","Short story about a brilliant Jewish student at Trinity College, Cambridge who struggles with his identity as both a Jew and an intellectual in Victorian England. The story follows Cohen&#39;s internal conflicts as he tries to balance his academic ambitions with his Jewish heritage, ultimately depicting his isolation and alienation in the gentile academic world.","Jewish Fiction--19th century; English fiction--Jewish authors; Jews--Fiction","London","","","","vjwp_189","periodical","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_189_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_189.pdf","http://localhost:4000/items/vjwp_189.html"
