title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Endymion vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1880","A romance novel set between 1819 and 1859 in which Endymion, the son of a disgraced Tory politician. The novel follows Endymion&#39;s rise through the Whig party and his ultimate rise to the position of Prime Minister.","Great Britain--fiction; Aristoracy (Social class)--fiction","London","","","","vjwp_103","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_103_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_103.pdf","http://localhost:4000/items/vjwp_103.html"
"Henrietta Temple, A Love Story vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1837","Disraeli wrote the first volume of Henrietta Temple in 1833 at the start of his affair with Henrietta Sykes, on whom the novel’s eponymous heroine is based, and completed it three years later, shortly after the affair had ended. The two volumes reflect these two stages of the relationship, the first with, &quot;the rustle of real petticoats [being] more audible than in any other part of Disraeli&#39;s work,&quot; the latter where, &quot;passion has vanished.&quot; The novel was written at a time when Disraeli was heavily in debt (ca £1m in today’s terms) and its limited success helped ease Disraeli’s financial situation.","Aristocracy (Social class)--fiction; Upper class families--fiction; Dandies--fiction; London (England)--fiction","London","","","","vjwp_104","book","pdf ","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_104_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_104.pdf","http://localhost:4000/items/vjwp_104.html"
"Henrietta Temple, A Love Story vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1837","Disraeli wrote the first volume of Henrietta Temple in 1833 at the start of his affair with Henrietta Sykes, on whom the novel’s eponymous heroine is based, and completed it three years later, shortly after the affair had ended. The two volumes reflect these two stages of the relationship, the first with, &quot;the rustle of real petticoats [being] more audible than in any other part of Disraeli&#39;s work,&quot; the latter where, &quot;passion has vanished.&quot; The novel was written at a time when Disraeli was heavily in debt (ca £1m in today’s terms) and its limited success helped ease Disraeli’s financial situation.","Aristocracy (Social class)--fiction; Upper class families--fiction; Dandies--fiction; London (England)--fiction","London","","","","vjwp_105","book","pdf ","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_105_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_105.pdf","http://localhost:4000/items/vjwp_105.html"
"Henrietta Temple, A Love Story vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1837","Disraeli wrote the first volume of Henrietta Temple in 1833 at the start of his affair with Henrietta Sykes, on whom the novel’s eponymous heroine is based, and completed it three years later, shortly after the affair had ended. The two volumes reflect these two stages of the relationship, the first with, &quot;the rustle of real petticoats [being] more audible than in any other part of Disraeli&#39;s work,&quot; the latter where, &quot;passion has vanished.&quot; The novel was written at a time when Disraeli was heavily in debt (ca £1m in today’s terms) and its limited success helped ease Disraeli’s financial situation.","Aristocracy (Social class)--fiction; Upper class families--fiction; Dandies--fiction; London (England)--fiction","London","","","","vjwp_106","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_106_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_106.pdf","http://localhost:4000/items/vjwp_106.html"
"Lord George Bentinck: A Political Biography","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1852","Political Biography of Lord George Bentick, an English Conservative politician best known for his role in unseating Sir Robert Peel over the Corn Laws. ","Great Britain--history; Literature--biography","London","","","","vjwp_107","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_107_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_107.pdf","http://localhost:4000/items/vjwp_107.html"
"Lothair vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1870","The novel explores the comparative merits of the Catholic and Anglican churches as heirs of Judaism as well as the question of Italian unification.","Great Britain--fiction; Religion--fiction","London","","","","vjwp_108","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_108_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_108.pdf","http://localhost:4000/items/vjwp_108.html"
"Lothair vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1870","The novel explores the comparative merits of the Catholic and Anglican churches as heirs of Judaism as well as the question of Italian unification.","Great Britain--fiction; Religion--fiction","London","","","","vjwp_109","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_109_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_109.pdf","http://localhost:4000/items/vjwp_109.html"
"Lothair vol. 3","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1870","The novel explores the comparative merits of the Catholic and Anglican churches as heirs of Judaism as well as the question of Italian unification.","Great Britain--fiction; Religion--fiction","London","","","","vjwp_110","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_110_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_110.pdf","http://localhost:4000/items/vjwp_110.html"
"Sybil, or, The Two Nations vol. 1","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1845","Sybil traces the plight of the working classes of England. As the title suggests, Disraeli is interested in dealing with the horrific conditions in which the majority of England&#39;s working classes lived — or, what is generally called the Condition of England Question.","Social classes--fiction; Poor families--fiction; Rich people--fiction; Landlord and tenant--fiction; Chartism--fiction; England Social conditions--fiction","London","","","","vjwp_111","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_111_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_111.pdf","http://localhost:4000/items/vjwp_111.html"
"Sybil, or, The Two Nations vol. 2","&lt;a href=&quot;/benjamin-disraeli.html&quot;&gt;Benjamin Disraeli&lt;/a&gt;","1845","Sybil traces the plight of the working classes of England. As the title suggests, Disraeli is interested in dealing with the horrific conditions in which the majority of England&#39;s working classes lived — or, what is generally called the Condition of England Question.","Social classes--fiction; Poor families--fiction; Rich people--fiction; Landlord and tenant--fiction; Chartism--fiction; England Social conditions--fiction","London","","","","vjwp_112","book","pdf","English","","","https://victorianjewishwritersproject.s3.amazonaws.com/objects/thumbs/vjwp_112_th.jpg","https://victorianjewishwritersproject.s3.amazonaws.com/objects/vjwp_112.pdf","http://localhost:4000/items/vjwp_112.html"
