subject,count,link
"great britain--politics",2,"victorianjewishwritersproject.org/browse.html#great%20britain--politics"
"jewish emancipation",2,"victorianjewishwritersproject.org/browse.html#jewish%20emancipation"
"english--literature--poetry",2,"victorianjewishwritersproject.org/browse.html#english--literature--poetry"
"judaism--history",2,"victorianjewishwritersproject.org/browse.html#judaism--history"
"mothers and daughters--fiction",2,"victorianjewishwritersproject.org/browse.html#mothers%20and%20daughters--fiction"
"domestic fiction",2,"victorianjewishwritersproject.org/browse.html#domestic%20fiction"
"depression, mental--fiction",2,"victorianjewishwritersproject.org/browse.html#depression,%20mental--fiction"
"maternal deprivation--fiction",2,"victorianjewishwritersproject.org/browse.html#maternal%20deprivation--fiction"
"jews in palestine",1,"victorianjewishwritersproject.org/browse.html#jews%20in%20palestine"
"infants--poetry",1,"victorianjewishwritersproject.org/browse.html#infants--poetry"
"god--love--poetry",1,"victorianjewishwritersproject.org/browse.html#god--love--poetry"
"jewish families--fiction",1,"victorianjewishwritersproject.org/browse.html#jewish%20families--fiction"
"interfaith marriage--fiction",1,"victorianjewishwritersproject.org/browse.html#interfaith%20marriage--fiction"
"biographies",1,"victorianjewishwritersproject.org/browse.html#biographies"
"jewish religious fiction",1,"victorianjewishwritersproject.org/browse.html#jewish%20religious%20fiction"
"consolation--poetry",1,"victorianjewishwritersproject.org/browse.html#consolation--poetry"
"jewish religious poetry, english",1,"victorianjewishwritersproject.org/browse.html#jewish%20religious%20poetry,%20english"
"friendship--poetry",1,"victorianjewishwritersproject.org/browse.html#friendship--poetry"
"judaism--rabbinical literature",1,"victorianjewishwritersproject.org/browse.html#judaism--rabbinical%20literature"
"judaism--theology",1,"victorianjewishwritersproject.org/browse.html#judaism--theology"
"ethnology--egypt",1,"victorianjewishwritersproject.org/browse.html#ethnology--egypt"
"bible--exodus--criticism, interpretation",1,"victorianjewishwritersproject.org/browse.html#bible--exodus--criticism,%20interpretation"
"judaism",1,"victorianjewishwritersproject.org/browse.html#judaism"
"judaism--customs and practices",1,"victorianjewishwritersproject.org/browse.html#judaism--customs%20and%20practices"
"sabbath--poetry",1,"victorianjewishwritersproject.org/browse.html#sabbath--poetry"
"judaism--handbooks and manuals",1,"victorianjewishwritersproject.org/browse.html#judaism--handbooks%20and%20manuals"
"jews--london",1,"victorianjewishwritersproject.org/browse.html#jews--london"
"jews--england",1,"victorianjewishwritersproject.org/browse.html#jews--england"
"jews--employment",1,"victorianjewishwritersproject.org/browse.html#jews--employment"
"devotional poetry, jewish",1,"victorianjewishwritersproject.org/browse.html#devotional%20poetry,%20jewish"
"bible. old testament--criticism, interpretation, etc.",1,"victorianjewishwritersproject.org/browse.html#bible.%20old%20testament--criticism,%20interpretation,%20etc."
"horror tales",1,"victorianjewishwritersproject.org/browse.html#horror%20tales"
"bible. old testament--history of biblical events",1,"victorianjewishwritersproject.org/browse.html#bible.%20old%20testament--history%20of%20biblical%20events"
"jewish literature",1,"victorianjewishwritersproject.org/browse.html#jewish%20literature"
"jews--civilization",1,"victorianjewishwritersproject.org/browse.html#jews--civilization"
"jews--history",1,"victorianjewishwritersproject.org/browse.html#jews--history"
"nuns--fiction",1,"victorianjewishwritersproject.org/browse.html#nuns--fiction"
"jewish fiction--19th century",1,"victorianjewishwritersproject.org/browse.html#jewish%20fiction--19th%20century"
"philanthropists",1,"victorianjewishwritersproject.org/browse.html#philanthropists"
"english fiction--jewish authors",1,"victorianjewishwritersproject.org/browse.html#english%20fiction--jewish%20authors"
"jewish women--social conditions--19th century",1,"victorianjewishwritersproject.org/browse.html#jewish%20women--social%20conditions--19th%20century"
"jewish women--social life and customs--great britain",1,"victorianjewishwritersproject.org/browse.html#jewish%20women--social%20life%20and%20customs--great%20britain"
"marriage customs and rites--jewish",1,"victorianjewishwritersproject.org/browse.html#marriage%20customs%20and%20rites--jewish"
"jews--england--london--fiction",1,"victorianjewishwritersproject.org/browse.html#jews--england--london--fiction"
"english fiction--19th century--history and criticism",1,"victorianjewishwritersproject.org/browse.html#english%20fiction--19th%20century--history%20and%20criticism"
"sterotypes (social psychology) in literature",1,"victorianjewishwritersproject.org/browse.html#sterotypes%20(social%20psychology)%20in%20literature"
"purim--poetry",1,"victorianjewishwritersproject.org/browse.html#purim--poetry"
"jewish children--poetry",1,"victorianjewishwritersproject.org/browse.html#jewish%20children--poetry"
"spiritual life--poetry",1,"victorianjewishwritersproject.org/browse.html#spiritual%20life--poetry"
"loss (psychology)--poetry",1,"victorianjewishwritersproject.org/browse.html#loss%20(psychology)--poetry"
"montefiore, moses, sir, 1784-1885",1,"victorianjewishwritersproject.org/browse.html#montefiore,%20moses,%20sir,%201784-1885"
"middle east",1,"victorianjewishwritersproject.org/browse.html#middle%20east"
"jewish youth--england",1,"victorianjewishwritersproject.org/browse.html#jewish%20youth--england"
"robert i, king of scots, 1274-1329--fiction",1,"victorianjewishwritersproject.org/browse.html#robert%20i,%20king%20of%20scots,%201274-1329--fiction"
"london society for promoting christianity amongst the jews",1,"victorianjewishwritersproject.org/browse.html#london%20society%20for%20promoting%20christianity%20amongst%20the%20jews"
"missions to jews",1,"victorianjewishwritersproject.org/browse.html#missions%20to%20jews"
"english--history",1,"victorianjewishwritersproject.org/browse.html#english--history"
"horrow fiction",1,"victorianjewishwritersproject.org/browse.html#horrow%20fiction"
"gothic novels",1,"victorianjewishwritersproject.org/browse.html#gothic%20novels"
"france--fiction",1,"victorianjewishwritersproject.org/browse.html#france--fiction"
"aristocracy--social class",1,"victorianjewishwritersproject.org/browse.html#aristocracy--social%20class"
"english--literature",1,"victorianjewishwritersproject.org/browse.html#english--literature"
"english--drama",1,"victorianjewishwritersproject.org/browse.html#english--drama"
"jewish legends",1,"victorianjewishwritersproject.org/browse.html#jewish%20legends"
"judaism--hebrew",1,"victorianjewishwritersproject.org/browse.html#judaism--hebrew"
"jewish medals",1,"victorianjewishwritersproject.org/browse.html#jewish%20medals"
"hebrew language--etymology",1,"victorianjewishwritersproject.org/browse.html#hebrew%20language--etymology"
"fiction",1,"victorianjewishwritersproject.org/browse.html#fiction"
"judaism--juvenile literature",1,"victorianjewishwritersproject.org/browse.html#judaism--juvenile%20literature"
"jewish calendar",1,"victorianjewishwritersproject.org/browse.html#jewish%20calendar"
"worship in the bible",1,"victorianjewishwritersproject.org/browse.html#worship%20in%20the%20bible"
"mishnah",1,"victorianjewishwritersproject.org/browse.html#mishnah"
"jews. liturgy and ritual",1,"victorianjewishwritersproject.org/browse.html#jews.%20liturgy%20and%20ritual"
"prideaux, humphrey, 1648-1724. old and new testament",1,"victorianjewishwritersproject.org/browse.html#prideaux,%20humphrey,%201648-1724.%20old%20and%20new%20testament"
"literature--fables",1,"victorianjewishwritersproject.org/browse.html#literature--fables"
"mendelssohn, moses (1729-1786)",1,"victorianjewishwritersproject.org/browse.html#mendelssohn,%20moses%20(1729-1786)"
"judaism--customs and practices--sephardic rite",1,"victorianjewishwritersproject.org/browse.html#judaism--customs%20and%20practices--sephardic%20rite"
"the great synagogue, duke's place synagogue",1,"victorianjewishwritersproject.org/browse.html#the%20great%20synagogue,%20duke's%20place%20synagogue"
"jewish youth",1,"victorianjewishwritersproject.org/browse.html#jewish%20youth"
"ethnology--german",1,"victorianjewishwritersproject.org/browse.html#ethnology--german"
"bible--psalms--commentaries",1,"victorianjewishwritersproject.org/browse.html#bible--psalms--commentaries"
"central asia",1,"victorianjewishwritersproject.org/browse.html#central%20asia"
"eastern question (central asia)",1,"victorianjewishwritersproject.org/browse.html#eastern%20question%20(central%20asia)"
"iran--boundaries",1,"victorianjewishwritersproject.org/browse.html#iran--boundaries"
"iran--description and travel",1,"victorianjewishwritersproject.org/browse.html#iran--description%20and%20travel"
"geology--iran",1,"victorianjewishwritersproject.org/browse.html#geology--iran"
